ND2,Aerospatiale (Nord) 262
E90,Embraer 190 / Lineage 1000
E95,Embraer 195
290,Embraer E190-E2
295,Embraer E195-E2
EMB,Embraer EMB 110 Bandeirante
EM2,Embraer EMB 120 Brasilia
ER3,Embraer Legacy 600 / Legacy 650
EP1,Embraer Phenom 100
EP3,Embraer Phenom 300
ER3,Embraer RJ135
ERD,Embraer RJ140
ER4,Embraer RJ145
NDH,Eurocopter (Aerospatiale) SA365C Dauphin 2
MBH,Eurocopter (MBB) Bo.105
APH,Eurocopter AS332 Super Puma
NDE,Eurocopter AS350 Écureuil / AS550 Fennec
FRJ,Fairchild Dornier 328JET
D38,Fairchild Dornier Do.328
SW4,Fairchild Swearingen Metroliner
100,Fokker 100
F50,Fokker 50
F70,Fokker 70
F27,Fokker F27 Friendship
F21,Fokker F28 Fellowship
CD2,Government Aircraft Factories N22B / N24A Nomad
GRG,Grumman G-21 Goose
GRM,Grumman G-73 Turbo Mallard
GRS,Gulfstream Aerospace G-159 Gulfstream I
GR3,Gulfstream G280
GJ6,Gulfstream G650
GJ4,Gulfstream IV
GJ5,Gulfstream V
ACP,Gulfstream/Rockwell (Aero) Commander 680
ACT,Gulfstream/Rockwell (Aero) Turbo Commander 690
YN2,Harbin Y-12
HS7,Hawker Siddeley HS 748
HHJ,Honda HA-420
I14,Ilyushin IL114
IL8,Ilyushin IL18
IL6,Ilyushin IL62
IL7,Ilyushin IL76
ILW,Ilyushin IL86
I93,Ilyushin IL96
WWP,Israel Aircraft Industries 1124 Westwind
JU5,Junkers Ju 52/3M
LRJ,Learjet 35 / 36 / C-21A
LRJ,Learjet 60
L4T,LET 410
N/A,Lockheed C-5M Super Galaxy
L10,Lockheed L-1011 Tristar
L49,Lockheed L-1049 Super Constellation
LOH,Lockheed L-182 / 282 / 382 (L-100) Hercules
LOE,Lockheed L-188 Electra
LOH,Lockheed Martin C-130J Hercules
M11,McDonnell Douglas MD-11
M1M,McDonnell Douglas MD-11C
M1F,McDonnell Douglas MD-11F
M81,McDonnell Douglas MD-81
M82,McDonnell Douglas MD-82
M83,McDonnell Douglas MD-83
M87,McDonnell Douglas MD-87
M88,McDonnell Douglas MD-88
M90,McDonnell Douglas MD-90
MD9,MD Helicopters MD900 Explorer
MIH,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
MU2,Mitsubishi Mu-2
YS1,NAMC YS-11
PN6,Partenavia P.68
P18,Piaggio P.180 Avanti
BNT,Pilatus Britten-Norman BN-2A Mk III Trislander
BNI,Pilatus Britten-Norman BN-2A/B Islander
PL2,Pilatus PC-12
PL4,Pilatus PC-24
PL6,Pilatus PC-6 Turbo Porter
PA2,Piper PA-31 Navajo
CNT,Reims-Cessna F406 Caravan II
S20,Saab 2000
SF3,Saab SF340A/B
SHB,Shorts SC-5 Belfast
SHS,Shorts SC-7 Skyvan
SH3,Shorts SD.330
SH6,Shorts SD.360
S58,Sikorsky S-58T
S61,Sikorsky S-61
S76,Sikorsky S-76
S92,Sikorsky S-92
SU9,Sukhoi Superjet 100-95
T12,Tecnam P2012 Traveller
TU3,Tupolev Tu-134
TU5,Tupolev Tu-154
T20,Tupolev Tu-204 / Tu-214
YK4,Yakovlev Yak-40
YK2,Yakovlev Yak-42
